1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
origin
0.56560606,0.73015152,0.75742424,0.61757576
0.69606061,0.7869697,0.76212121,0.63181818
0.6769697,0.76151515,0.76227273,0.62924242
0.67060606,0.75575758,0.75727273,0.62712121
0.66136364,0.75106061,0.75712121,0.62878788
0.67742424,0.75363636,0.76242424,0.63348485
0.68530303,0.75560606,0.76787879,0.63257576
0.68666667,0.75318182,0.76909091,0.63166667
0.66621212,0.75287879,0.76590909,0.6430303
0.76378788,0.75787879,0.77106061,0.92212121
0.77787879,0.76757576,0.76863636,0.92651515
0.78621212,0.76909091,0.77272727,0.92787879
0.75924242,0.77181818,0.76939394,0.92848485
0.89606061,0.83666667,0.77424242,0.92787879
0.90590909,0.84772727,0.77909091,0.92848485
0.92318182,0.85606061,0.77545455,0.92969697
0.92515152,0.8630303,0.77681818,0.92893939
0.92242424,0.86393939,0.77984848,0.9280303
0.92378788,0.86121212,0.77666667,0.92878788
pca
0.55045455,0.73348485,0.55560606,0.68666667
0.56742424,0.79257576,0.76484848,0.875
0.57287879,0.79681818,0.76666667,0.92666667
0.72727273,0.80439394,0.77424242,0.93924242
0.76272727,0.92878788,0.78136364,0.93939394
0.95242424,0.96772727,0.78787879,0.93924242
0.96409091,0.97772727,0.79090909,0.93984848
0.96863636,0.97015152,0.79393939,0.94227273
0.96560606,0.97333333,0.78893939,0.94454545
0.96651515,0.9719697,0.795,0.94469697
0.97348485,0.97818182,0.79318182,0.94318182
0.96666667,0.97393939,0.79515152,0.94424242
0.96545455,0.97666667,0.79227273,0.94287879
0.96984848,0.97393939,0.79621212,0.94439394
0.96590909,0.9680303,0.79515152,0.94363636
0.96969697,0.975,0.79469697,0.94515152
0.96651515,0.97106061,0.79530303,0.94242424
0.96939394,0.97560606,0.79772727,0.94227273
0.96424242,0.97030303,0.7930303,0.9430303
kpca
0.52409091,0.52030303,0.52363636,0.52984848
0.52954545,0.52272727,0.52318182,0.53484848
0.53181818,0.53681818,0.53939394,0.55378788
0.53484848,0.54060606,0.53969697,0.57893939
0.54621212,0.53909091,0.56181818,0.60151515
0.54909091,0.54424242,0.56363636,0.60469697
0.55272727,0.56015152,0.56878788,0.6030303
0.55272727,0.56469697,0.57121212,0.60318182
0.58772727,0.56121212,0.57363636,0.61833333
0.58515152,0.5730303,0.57666667,0.61924242
0.60636364,0.57106061,0.58075758,0.62030303
0.59878788,0.57439394,0.5980303,0.62939394
0.59787879,0.57909091,0.60227273,0.63742424
0.6319697,0.58212121,0.5980303,0.63393939
0.64560606,0.59893939,0.60242424,0.63787879
0.63060606,0.60469697,0.60409091,0.64681818
0.6430303,0.60727273,0.60121212,0.65181818
0.63363636,0.60878788,0.61166667,0.65090909
0.62666667,0.61212121,0.61121212,0.65681818
over
